City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,15.26,79,1,7.29,AU,1712501963
1,nar'yan-mar,67.6713,53.087,-5.5,88,94,6.26,RU,1712501997
2,ribeira grande,38.5167,-28.7,18.76,88,40,9.77,PT,1712501974
3,adamstown,-25.066,-130.1015,22.69,76,38,4.76,PN,1712501990
4,san antonio de pale,-1.4014,5.6325,29.05,75,79,4.28,GQ,1712501985
5,iskateley,67.6803,53.1512,-5.55,88,96,6.26,RU,1712502100
6,manokwari,-0.8667,134.0833,26.22,84,100,2.14,ID,1712502101
7,santa maria do suacui,-18.1903,-42.4142,23.63,70,91,1.74,BR,1712502101
8,rantepao,-2.9701,119.8978,20.45,99,100,0.88,ID,1712502101
9,udachny,66.4167,112.4,-9.75,94,100,7.61,RU,1712501964
10,constantia,44.1833,28.65,16.5,84,45,3.48,RO,1712502101
11,kenora,49.8167,-94.4337,6.54,36,20,4.63,CA,1712502102
12,waitangi,-43.9535,-176.5597,12.12,83,48,1.79,NZ,1712502102
13,albany,42.6001,-73.9662,8.1,63,69,2.24,US,1712502033
14,camarinas,43.1311,-9.1817,16.07,76,95,8.34,ES,1712502047
15,ushuaia,-54.8,-68.3,7.81,53,40,6.69,AR,1712502103
16,petropavlovsk-kamchatsky,53.0452,158.6483,0.25,73,0,5.81,RU,1712502103
17,invercargill,-46.4,168.35,10.01,91,76,1.79,NZ,1712501934
18,stanley,54.868,-1.6985,13.2,68,40,11.83,GB,1712502103
19,severo-yeniseyskiy,60.3725,93.0408,-12.92,94,98,2.66,RU,1712502103
20,ebon,4.582,168.6964,27.77,83,54,9.37,MH,1712502104
21,bethel,41.3712,-73.414,9.31,58,39,1.34,US,1712502104
22,mudgee,-32.5943,149.5871,12.57,85,42,1.2,AU,1712502104
23,aasiaat,68.7098,-52.8699,-5.11,73,100,0.68,GL,1712501973
24,polyarnyy,69.1989,33.4478,-4.24,83,100,3.38,RU,1712501995
25,akureyri,65.6835,-18.0878,-0.04,86,100,6.69,IS,1712502007
